"status","judul","pembuat_koleksi","tipe_koleksi","id","user_created","date_created","user_updated","date_updated","lembaga_penanggungjawab","lokasi_koleksi","keterangan_koleksi","keywords","tanggal_dibuat","tanggal_publikasi","thumbnail.id"
"published","Floppy Disk  Window/MS-DOS (about library)","Wina Erwina, M.A., Ph.D.",,"8DA0845D-BD9E-429F-90A1-083B14114182","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T07:29:32.173Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-09T07:11:04.840Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Floppy Disk &nbsp;Window/MS-DOS</span><br><span style=""font-family: 'times new roman', times, serif;"">(about library)</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan :<strong> </strong>plastik dan logam</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran luar :&nbsp;Panjang dan lebar 9 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran Disket : 8 inci</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Kapasitas : 1.44 Mb</span></p>","[""floppy disk"",""library""]",,"2024-04-24","0F19EC69-A5D4-4C02-B127-1CB2DFE79CB9"
"published","Profil dan Kontribusi Universitas Padjadjaran ",,"Koleksi Buku","EE81D4B9-20C8-430E-958A-0FCFFB8145F9","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T03:08:14.553Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-09T07:10:50.480Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Profil dan Kontribusi Universitas Padjadjaran Dalam Mengisi 60 Tahun Indonesia Merdeka</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas</span></p>
<p class=""MsoNormal"" style=""line-height: normal; mso-pagination: none; border: none; mso-padding-alt: 31.0pt 31.0pt 31.0pt 31.0pt; mso-border-shadow: yes;""><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Lebar 22 cm, Panjang 22 cm</span></p>
<p class=""MsoNormal"" style=""line-height: normal; mso-pagination: none; border: none; mso-padding-alt: 31.0pt 31.0pt 31.0pt 31.0pt; mso-border-shadow: yes;""><span style=""font-family: 'Cambria',serif; mso-ascii-theme-font: minor-latin; mso-hansi-theme-font: minor-latin; mso-no-proof: yes;"">&nbsp;</span></p>","[""profil"",""unpad"",""indonesia"",""merdeka""]",,"2024-04-24","9908D84D-B50E-422C-983D-9F25B8CE376E"
"published","Tesis Penataan Ruang di Kampung Dukuh, Desa Ciroyom Kecamatan Cikelet, Kabupaten Garut","Raden Dwi Tiara Lestari",,"4B8280F4-EAB4-4093-A2CD-127784D0CB02","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-27T06:10:10.393Z",,,"Pusat Pengelolaan Pengetahuan UNPAD","Pusat Pengelolaan Pengetahuan UNPAD","<p><span style=""font-family: 'times new roman', times, serif;"">Tesis Penataan Ruang di Kampung Dukuh, Desa Ciroyom Kecamatan Cikelet, Kabupaten Garut oleh Raden Dwi Tiara Lestari</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas dan hard Cover</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Lebar 21,5 cm dan&nbsp;Panjang 29,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun 2013</span></p>
<p>&nbsp;</p>","[""tesis"",""penataan ruang""]","2013-11-01","2024-09-27","94E9F40F-1FBB-40FE-BF99-B8B5D54F50B0"
"published","Milestone Perkembangan Pengolahan Koleksi Perpustakaan UNPAD dari masa ke masa","Perpustakaan UNPAD",,"96D1E3C2-F0C0-45D3-B82E-136A7317AC81","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-27T06:49:00.376Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-10-04T03:30:00.346Z","Pusat Pengelolaan Pengetahuan UNPAD","Pusat Pengelolaan Pengetahuan UNPAD","<p><span style=""font-family: 'times new roman', times, serif;"">Milestone Perkembangan Pengolahan Koleksi Perpustakaan UNPAD dari masa ke masa yang divisualisasikan dalam bentuk infografis dengan informasi berasal dari hasil wawancara yang dilakukan Oleh Tarlina Nur Ilahi dan Dama Yanti kepada pustakawan pada bidangnya yaitu Ibu Dra. Mulyani dan Bapak Dede Prijadi dan hasil wawancara ini divisualisasikan dalam bentuk infografis oleh Graceline Esterini Mulyana dan Siti Rina Latifah</span></p>","[""Pengolahan Koleksi Perpustakaan"",""perpustakaan""]","2024-09-04","2024-09-27","68F25791-25C3-47E1-BF8D-F6B91DF9B1D7"
"published","Negarawan Dari Desa Cinta: Biografi R.H. Moh. sanusi Hardjadinata (1914-1995)","Dr. Ninan H. Lubis, M.sS.","Koleksi Biografi","6D752168-3969-455D-8127-1485CADA65E6","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T03:21:06.770Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-09T07:11:16.743Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Negarawan Dari Desa Cinta: Biografi R.H. Moh. sanusi Hardjadinata (1914-1995)</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Kata Pengantar : Prof. Dr. Taufik Abdullah</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Diterbitakn oleh : Satya Historika</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 21,5 cm dan Lebar 15 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun : 1914</span></p>
<p class=""MsoNormal"" style=""line-height: normal; mso-pagination: none; border: none; mso-padding-alt: 31.0pt 31.0pt 31.0pt 31.0pt; mso-border-shadow: yes;"">&nbsp;</p>
<p class=""MsoNormal"" style=""line-height: normal; mso-pagination: none; border: none; mso-padding-alt: 31.0pt 31.0pt 31.0pt 31.0pt; mso-border-shadow: yes;"">&nbsp;</p>
<p class=""MsoNormal"" style=""line-height: normal; mso-pagination: none; border: none; mso-padding-alt: 31.0pt 31.0pt 31.0pt 31.0pt; mso-border-shadow: yes;""><span style=""font-family: 'Cambria',serif; mso-ascii-theme-font: minor-latin; mso-hansi-theme-font: minor-latin; mso-no-proof: yes;"">&nbsp;</span></p>
<p>&nbsp;</p>","[""biografi"",""negarawan""]",,"2024-04-24","9CFA56B4-364C-47F8-8F1F-516246036241"
"published","Foto Lukisan-lukisan dan Patung-patung koleksi Presiden Sukarno edisi III dari Republik Indonesia",,"Koleksi Seni","FF6309CA-7E0F-4422-840D-1551A78EA14A","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-23T07:04:41.713Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-19T06:15:16.873Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Foto Lukisan-lukisan dan Patung-patung koleksi Presiden Sukarno edisi III dari Republik Indonesia</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas Arts Papper</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 38,5 cm dan Lebar 31 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun : 1964</span></p>","[""lukisan"",""patung"",""sukarno""]",,"2024-04-23","ABBE681C-D42C-4D0C-9881-53FE3FC2DA27"
"published","Undangan Pertemuan Sdr Dra. Ny. Kusdwiratri Setiono","Universitas Padjadjaran","Koleksi  Sejarah","1AB518B1-2CFE-4D14-A180-1A9611FFE923","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-23T03:14:26.380Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-10T03:37:52.000Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-size: 11pt; line-height: 115%; font-family: 'times new roman', times, serif;"">Undangan Pertemuan dengan Kontraktor untuk mendapatkan keterangan dan penjelasan mengenai perumahan untuk Sdr Dra. Ny. Kusdwiratri Setiono, Fakultas Psikologi, Universitas Padjadjaran&nbsp;</span></p>
<p><span style=""font-size: 11pt; line-height: 115%; font-family: 'times new roman', times, serif;"">Bahan : Kertas</span></p>
<p><span style=""font-size: 11pt; line-height: 115%; font-family: 'times new roman', times, serif;"">Ukuran : Panjang 30,8 cm dan Lebar 20,8 cm</span></p>
<p><span style=""font-size: 11pt; line-height: 115%; font-family: 'times new roman', times, serif;"">Tahun : 1977</span></p>","[""surat"",""undangan""]","1977-11-07","2024-04-23","62852AD6-F08C-4DD8-BF55-8E6514852E6B"
"published","Kartu Tanda “Tamu” UPT Perpustakaan Unpad","UPT Perpustakaan UNPAD",,"00DAC9CA-1588-4A1A-BA98-20ACC67B6977","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T07:37:03.366Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-09T07:12:19.000Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Kartu Tanda &ldquo;Tamu&rdquo; UPT Perpustakaan Unpad&nbsp;</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas di laminasi</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 10,5 cm dan Lebar 7 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun : 2015</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah : 15 buah</span></p>","[""kartu"",""perpustakaan""]","2015-01-01","2024-04-24","E01D8C35-D34E-4A2B-B2DC-ED4A645E34D9"
"published","Colour Disk  2HD Formated (about library)","Wina Erwina, M.A., Ph.D.",,"EEE3D0B4-12CB-40F0-A7FD-2131491A6792","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T07:27:31.613Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-09T07:12:58.253Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Colour Disk &nbsp;2HD Formated</span><br><span style=""font-family: 'times new roman', times, serif;"">(about library)</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : plastik dan logam</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran luar : panjang dan lebar 9 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Kapasitas : 1.44 Mb</span></p>","[""colour disk"",""library""]",,"2024-04-24","DE79ECAB-9DAD-4863-9D49-2A13C173C32F"
"published","50 Tahun Unpad Bagimu Negeri ","Universitas Padjadjaran ","Koleksi Sejarah","FC06D721-185E-4AED-846D-24E4EF736C96","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T07:22:12.506Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-10T03:30:43.123Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">50 Tahun Unpad Bagimu Negeri Sejarah Singkat Universitas Padjadjaran dan Perangko 50 Tahun Universitas Padjadjaran</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Hard Cover Kulit Sintesis dan Art Papper</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang cover 29,2 cm</span><br><span style=""font-family: 'times new roman', times, serif;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Lebar cover 25,9cm</span><br><span style=""font-family: 'times new roman', times, serif;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Panjang dan Lebar isi 23,9 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun :&nbsp;</span></p>","[""sejarah"",""perangko"",""unpad""]",,"2024-04-24","25187014-13E9-4AA7-B4DF-F52823F11102"
"published","Seperangkat Toga dan Baret","Universitas Padjadjaran","Koleksi sejarah","5899FF4C-0029-40BE-9774-26FDB1A3EE89","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-23T02:56:36.103Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-19T06:03:47.070Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Tersedia Seperangkat Toga dan Baret dipajang di Memorabilia</span></p>
<p>&nbsp;</p>","[""toga"",""baret""]",,"2024-04-23","7CD9F5D7-BF03-42DD-BFBE-753CD26358F7"
"published","Buku Petunjuk Pengguna CISRAL","CISRAL UNPAD",,"9EF1CF4C-D4F8-48D7-99EA-272DE6CA5C01","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T07:41:52.293Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-09T07:14:05.096Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Buku Petunjuk Pengguna CISRAL UNPAD</span><br><span style=""font-family: 'times new roman', times, serif;"">Pusat Sumberdaya Informasi Ilmiah dan Perpustakaan Universitas Padjadjaran</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 15 cm dan Lebar 11 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun : 2013</span></p>","[""buku"",""petunjuk"",""cisral"",""perpustakaan""]",,"2024-04-24","52B714A5-3F17-4EEB-9239-2D5E561A6647"
"published","Map Ijazah Universitas Padjadjaran","Universitas Padjadjaran","Koleksi Sejarah","1771F576-5668-449E-828E-2D43E7B48819","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-11-12T07:52:27.853Z",,,"Pusat Pengelolaan Pengetahuan UNPAD","Pusat Pengelolaan Pengetahuan UNPAD","<p dir=""ltr""><span style=""font-family: 'times new roman', times, serif;"">Map Ijazah Universitas Padjadjaran</span></p>
<p dir=""ltr""><span style=""font-family: 'times new roman', times, serif;"">Panjang : 34,5 cm</span></p>
<p dir=""ltr""><span style=""font-family: 'times new roman', times, serif;"">Lebar : 26,5 cm</span></p>
<p dir=""ltr""><span style=""font-family: 'times new roman', times, serif;"">Bahan : ASE sablon Tinta emas hard cover</span></p>
<p>&nbsp;</p>","[""ijazah"",""unpad""]",,"2024-11-12","9BCB24FE-BE16-4752-B49E-04C0FE2AD107"
"published","Foto Lukisan-lukisan dan Patung-patung koleksi Presiden Sukarno dari Republik Indonesia edisi I",,"Koleksi Seni","D69F6B31-60BF-4D5F-953D-392166CA10B0","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-23T06:28:54.033Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-19T06:15:35.473Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Foto Lukisan-lukisan dan Patung-patung koleksi Presiden Sukarno dari Republik Indonesia edisi I</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas Art Papper</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 38,5 cm dan Lebar 31 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun 1964</span></p>
<p>&nbsp;</p>","[""lukisan"",""patung"",""sukarno""]",,"2024-04-23","1AF09628-EB74-4A42-8A11-645A3AF61965"
"published"," Disertasi Keperantaraan Dalam Konteks Budaya Indonesia","John S. Nimpoeno",,"0A8C5EBD-BA85-450A-9613-3CF9C8C6BFC5","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T03:47:12.916Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-10T03:32:16.740Z","Pusat Pengelolaan Pengetahuan",,"<p><span style=""font-family: 'times new roman', times, serif;"">Disertasi Keperantaraan Dalam Konteks Budaya Indonesia: Pengembangan Konsep dan Model dengan Perhatian Khusus pada Fungsinya dalam Konflik Sosial</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 28,5 cm dan Lebar 21,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun : 1981</span></p>","[""disertasi"",""budaya"",""konflik sosial""]","1981-06-29","2024-04-24","E1DB86D5-9F8C-44E0-90A7-40DF371C89BC"
"published","Disertasi Rekonstruksi Palinspastik dan Evolusi Geologi Daerah Tubuh Bokon Timor","M. Koesmono",,"37148449-265C-4BD8-84AA-3DE4DF971D43","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T03:33:02.183Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-10T03:33:16.720Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Disertasi Rekonstruksi Palinspastik dan Evolusi Geologi Daerah Tubuh Bokon Timor</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 28,5 cm dan Lebar 21,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun : -</span></p>
<p>&nbsp;</p>","[""rekonstruksi"",""geologi""]",,"2024-04-24","3571A355-8F32-4AAC-818C-4647F3E29604"
"published","Peranan Anggaran Pendapatan dan Belandja dalam Pembangunan Universitas Negeri","Hindersah Wiratmadja",,"B32AAA6C-3BF8-4482-B2EE-3FA353AFD770","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T03:13:35.870Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-09T07:15:33.073Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Naskah Orasi Ilmiah Berjudul Peranan Anggaran Pendapatan dan Belandja dalam Pembangunan Universitas Negeri (Suatu Introduksi Program dan Performance Budget)</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">&nbsp;Diucapkan Oleh Hindersah Wiratamdja Guru Besar dalam Ekonomi Perusahaan pada Fakultas Ekonomi Universitas Padjadjaran pada Dies Natalis ke-13 Universitas Padjadajran pada tanggal 14 September 1970 di Bandung</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Diterbitkan oleh Jajasan Penerbitan Universitas Padjadjaran</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 23,8 cm dan Lebar 15,8 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun 1970</span></p>","[""naskah"",""orasi ilmiah""]","1970-09-24","2024-04-24","4B79228E-D3DB-4D4D-B156-6312A4A0E538"
"published","Foto Lukisan  dan patung kolleksi presiden Sukarno dari Republik Indoensia edisi IV",,"Koleksi Seni","7365C25E-34E7-4486-B7D9-42DE850CB092","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-23T07:06:27.336Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-19T06:15:41.470Z",,,"<p><span style=""font-family: 'times new roman', times, serif;"">Foto Lukisan &nbsp;dan patung kolleksi presiden Sukarno dari Republik Indoensia edisi IV</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas Art Papper</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 38,5 cm dan Lebar 31 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun : 1964</span></p>","[""lukisan"",""patung"",""sukarno""]",,"2024-04-23","FAB2D407-4CB1-43D5-A8C8-EDD3BAA116D7"
"published","Disertasi Masalah Gigi Berjejal","Mundiyah Mokhtar",,"AE5972D5-55B3-4435-9B1E-462C5F30D3B2","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T03:35:12.903Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-10T03:33:50.736Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-family: 'times new roman', times, serif;"">Disertasi Masalah Gigi Berjejal : Suatu studi perbandingan morfologi gigi, ukuran gigi dna ukuran lengkung rahang pada suku batak dan suku melayu di Sumatera Utara&nbsp;</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kertas</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 28,5 cm dan Lebar 21,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun : 1982</span></p>","[""disertasi"",""masalah gigi"",""suku batak"",""suku melayu""]","1982-10-19","2024-04-24","F9B8EB7A-F09A-474B-B546-1C36779E1864"
"published","Disertasi Patologi Carcinoma Nasopharynx Khusus Ditinjau Dari Segi Histogenesis","Tanwir Jazid Mukawi",,"FC0BCCB1-7993-4F80-8A78-483EE4D8B870","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T03:45:52.430Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-09T07:16:37.193Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-size: 11pt; line-height: 115%; font-family: 'times new roman', times, serif;"">Disertasi Patologi Carcinoma Nasopharynx Khusus Ditinjau Dari Segi Histogenesis Oleh Tanwir Jazid Mukawi </span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : Panjang 28,5 cm dan Lebar 21,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Tahun : 1974</span></p>","[""disertasi"",""carcinoma nasopharynx"",""histogenesi""]",,"2024-04-24","70753ACC-49DD-4797-9DD5-747ECC9D37B5"
"published","Gentara Padjadjaran: 50 Unpad Bagimu Begeri","Universitas Padjadjaran","Koleksi Sejarah","53EFC215-1D0C-4DF4-8904-4958C7443188","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-04-24T07:13:22.983Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-09T07:17:01.086Z","Pusat Pengelolaan Pengetahuan UNPAD",,"<p><span style=""font-size: 11pt; line-height: 115%; font-family: 'times new roman', times, serif;"">Gentara Padjadjaran: 50 Unpad Bagimu Begeri, Edisi September 2007</span></p>
<p><span style=""font-size: 11pt; line-height: 115%; font-family: 'times new roman', times, serif;"">Bahan : kertas Art Papper</span></p>
<p><span style=""font-size: 11pt; line-height: 115%; font-family: 'times new roman', times, serif;"">Ukuran : Panjang 33 cm dan Lebar 21 cm</span></p>
<p><span style=""font-size: 11pt; line-height: 115%; font-family: 'times new roman', times, serif;"">Tahun 2007</span></p>","[""gentran"",""padjadjaran""]","2007-09-01","2024-04-24","6D228BD8-863E-49E9-A728-88998EFF061D"
